id,type,solver,label,status,submitted_on,solved_on
dcca72d5-c031-4725-af5f-022b232f8816,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_3_1_2,COMPLETED,2025-06-18T18:07:36.525952Z,2025-06-18T18:07:37.079358Z
cbddbeb7-6632-4dae-835c-32dac6fd88b8,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_3_0_2,COMPLETED,2025-06-18T18:07:33.782230Z,2025-06-18T18:07:34.331461Z
a01ec2b7-68cf-4508-b940-194445e2c556,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_2_9_2,COMPLETED,2025-06-18T18:07:30.205330Z,2025-06-18T18:07:30.790524Z
ff95e121-331f-4894-b30f-c94845dc46f2,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_2_8_2,COMPLETED,2025-06-18T18:07:27.744453Z,2025-06-18T18:07:28.236158Z
ad611b2e-100b-49b2-ac4a-53e559ebce80,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_2_7_2,COMPLETED,2025-06-18T18:07:25.115434Z,2025-06-18T18:07:25.718734Z
5f82467b-2a61-4f2d-a5c2-eb406d58c7c4,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_2_6_2,COMPLETED,2025-06-18T18:07:22.445984Z,2025-06-18T18:07:23.035571Z
96eee617-fabb-4392-8698-1edc9b3e5415,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_2_5_2,COMPLETED,2025-06-18T18:07:19.878587Z,2025-06-18T18:07:20.399479Z
82f0fdd3-74cf-4ad5-8b24-c64176a948bb,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_2_4_2,COMPLETED,2025-06-18T18:07:17.348124Z,2025-06-18T18:07:17.857772Z
8ef1ae08-482f-40ed-a63b-9b0924b6d868,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_2_3_2,COMPLETED,2025-06-18T18:07:14.756028Z,2025-06-18T18:07:15.340107Z
b78e264e-6ead-40da-80c3-a72f1ff60561,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_2_2_2,COMPLETED,2025-06-18T18:07:12.165271Z,2025-06-18T18:07:12.741157Z
ba11ae7e-4a42-48e6-9aa6-622081bd41fb,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_2_1_2,COMPLETED,2025-06-18T18:07:09.480288Z,2025-06-18T18:07:10.055091Z
ebbc44fe-a1f7-4073-8235-ed38574c357f,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_2_0_2,COMPLETED,2025-06-18T18:07:06.792851Z,2025-06-18T18:07:07.432545Z
9352848a-4e94-4568-a13c-b18ed472ce5a,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_1_9_2,COMPLETED,2025-06-18T18:07:04.069046Z,2025-06-18T18:07:04.637760Z
35c5f13f-5913-49d1-b19f-6f859d8e8071,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_1_8_2,COMPLETED,2025-06-18T18:07:01.487044Z,2025-06-18T18:07:02.009715Z
ac81fe49-6a15-4ef2-9022-3549bbfc818d,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_1_7_2,COMPLETED,2025-06-18T18:06:58.869795Z,2025-06-18T18:06:59.407750Z
dccb03e8-c076-4368-a0e7-2585487fa1ce,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_1_6_2,COMPLETED,2025-06-18T18:06:56.301697Z,2025-06-18T18:06:56.854059Z
8ab9c910-ea14-4444-9ebc-05c3db525591,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_1_5_2,COMPLETED,2025-06-18T18:06:53.566045Z,2025-06-18T18:06:54.183794Z
52831b2e-5efe-4133-827f-9cfc1035e564,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_1_4_2,COMPLETED,2025-06-18T18:06:50.906035Z,2025-06-18T18:06:51.461836Z
9b7268d6-9d48-48dc-90ff-f8b57807ea2a,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_1_3_2,COMPLETED,2025-06-18T18:06:48.298100Z,2025-06-18T18:06:48.839644Z
57573976-c488-4cc5-820a-9a135e3f3402,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_1_2_2,COMPLETED,2025-06-18T18:06:44.724425Z,2025-06-18T18:06:45.273456Z
5f6cceb5-8afb-4e5b-928c-8c93d1118171,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_1_1_2,COMPLETED,2025-06-18T18:06:42.145788Z,2025-06-18T18:06:42.761493Z
46943f4d-23d7-4245-b8ec-7a20f854c3ea,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_1_0_2,COMPLETED,2025-06-18T18:06:39.413890Z,2025-06-18T18:06:40.009524Z
759bd821-c020-4f6e-90b5-ac324a5e1fce,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_0_9_2,COMPLETED,2025-06-18T18:06:36.852927Z,2025-06-18T18:06:37.348244Z
42aec2db-f484-4fd8-a307-e51919de9a3a,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_0_8_2,COMPLETED,2025-06-18T18:06:34.327255Z,2025-06-18T18:06:34.831950Z
1e0610d2-d1d1-4c58-9845-fbc524122350,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_0_7_2,COMPLETED,2025-06-18T18:06:31.697685Z,2025-06-18T18:06:32.253771Z
fc81dada-b057-4873-b9e0-fda69911b15e,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_0_6_2,COMPLETED,2025-06-18T18:06:29.153232Z,2025-06-18T18:06:29.657079Z
424fda7f-87db-4ab7-87a2-5b9b0f24f459,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_0_5_2,COMPLETED,2025-06-18T18:06:26.708229Z,2025-06-18T18:06:27.197829Z
e6a6dd1a-3ceb-45ce-95ce-32589762eccc,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_0_4_2,COMPLETED,2025-06-18T18:06:24.255642Z,2025-06-18T18:06:24.785268Z
89bc9dc2-b84e-43d3-b788-e3dee746a283,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_0_3_2,COMPLETED,2025-06-18T18:06:21.758991Z,2025-06-18T18:06:22.278902Z
479735cd-c1f7-4894-80e0-bb55cff02ef3,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_0_2_2,COMPLETED,2025-06-18T18:06:19.167823Z,2025-06-18T18:06:19.683883Z
6f319063-7d5c-4dbb-aea8-00b2a0e281a2,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_0_1_2,COMPLETED,2025-06-18T18:06:16.564985Z,2025-06-18T18:06:17.106673Z
79cf2d02-76e9-413c-9eca-faf221003e64,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_165_0.4_0_0_2,COMPLETED,2025-06-18T18:06:13.886997Z,2025-06-18T18:06:14.417891Z
29716d44-d355-4a3e-b9e5-a8bf22c4d1fa,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_155_0.4_4_9_2,COMPLETED,2025-06-18T18:05:41.115736Z,2025-06-18T18:05:41.643098Z
606bf9d9-6b1f-4c0f-9972-6fcaf66fec75,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_155_0.4_4_8_2,COMPLETED,2025-06-18T18:05:37.562937Z,2025-06-18T18:05:38.221515Z
73497ef3-5257-40f5-8b52-52f0b76b03bf,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_155_0.4_4_7_2,COMPLETED,2025-06-18T18:05:35.138470Z,2025-06-18T18:05:35.634819Z
654d2874-6111-44c7-a101-303ccea243be,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_155_0.4_4_6_2,COMPLETED,2025-06-18T18:05:32.697679Z,2025-06-18T18:05:33.213226Z
9782cc72-2a6f-4c63-a12e-a11329cd1d4b,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_155_0.4_4_5_2,COMPLETED,2025-06-18T18:05:30.213561Z,2025-06-18T18:05:30.737578Z
35865777-b1a6-466e-a515-be90a8f01b5c,ising,Advantage_system4.1,BIKAINTEK_EMBEDDING_ER_155_0.4_4_4_2,COMPLETED,2025-06-18T18:05:27.534758Z,2025-06-18T18:05:28.159511Z
